   Compiling btc5m-bot v0.1.0 (/Users/azharuddinarrosis/Developments/poly/btc5m-v02/bot)
    Finished `dev` profile [unoptimized + debuginfo] target(s) in 3.52s
     Running `target/debug/btc5m-bot`
[INIT] No state.json found, starting fresh
BTC 5m Forward Bot API running on http://0.0.0.0:8082
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-872s | ACTIVE
[REALTIME] 1776334800 | UP: 69.0c | DOWN: 30.0c | T-272s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-572s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-872s | ACTIVE
[REALTIME] 1776334800 | UP: 69.0c | DOWN: 30.0c | T-271s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-571s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-871s | ACTIVE
[REALTIME] 1776334800 | UP: 69.0c | DOWN: 30.0c | T-271s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-571s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-871s | ACTIVE
[REALTIME] 1776334800 | UP: 69.0c | DOWN: 30.0c | T-270s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-570s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-870s | ACTIVE
[REALTIME] 1776334800 | UP: 69.0c | DOWN: 30.0c | T-270s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-570s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-870s | ACTIVE
[REALTIME] 1776334800 | UP: 69.0c | DOWN: 30.0c | T-269s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-569s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-869s | ACTIVE
[REALTIME] 1776334800 | UP: 67.0c | DOWN: 31.0c | T-269s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-569s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-869s | ACTIVE
[REALTIME] 1776334800 | UP: 65.0c | DOWN: 33.0c | T-268s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-568s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-868s | ACTIVE
[REALTIME] 1776334800 | UP: 64.0c | DOWN: 35.0c | T-268s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-568s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-868s | ACTIVE
[REALTIME] 1776334800 | UP: 63.0c | DOWN: 36.0c | T-267s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-567s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-867s | ACTIVE
[REALTIME] 1776334800 | UP: 63.0c | DOWN: 36.0c | T-267s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-567s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-867s | ACTIVE
[REALTIME] 1776334800 | UP: 62.0c | DOWN: 37.0c | T-266s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-566s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-866s | ACTIVE
[REALTIME] 1776334800 | UP: 62.0c | DOWN: 37.0c | T-266s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-566s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-866s | ACTIVE
[REALTIME] 1776334800 | UP: 62.0c | DOWN: 37.0c | T-265s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-565s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-865s | ACTIVE
[REALTIME] 1776334800 | UP: 62.0c | DOWN: 37.0c | T-265s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-565s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-865s | ACTIVE
[REALTIME] 1776334800 | UP: 62.0c | DOWN: 37.0c | T-264s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-564s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-864s | ACTIVE
[REALTIME] 1776334800 | UP: 62.0c | DOWN: 37.0c | T-264s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-564s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-864s | ACTIVE
[REALTIME] 1776334800 | UP: 62.0c | DOWN: 37.0c | T-263s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-563s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-863s | ACTIVE
[REALTIME] 1776334800 | UP: 62.0c | DOWN: 37.0c | T-263s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-563s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-863s | ACTIVE
[REALTIME] 1776334800 | UP: 62.0c | DOWN: 37.0c | T-262s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-562s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-862s | ACTIVE
[REALTIME] 1776334800 | UP: 62.0c | DOWN: 37.0c | T-262s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-562s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-862s | ACTIVE
[REALTIME] 1776334800 | UP: 62.0c | DOWN: 37.0c | T-261s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-561s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-861s | ACTIVE
[REALTIME] 1776334800 | UP: 62.0c | DOWN: 37.0c | T-261s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-561s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-861s | ACTIVE
[REALTIME] 1776334800 | UP: 62.0c | DOWN: 37.0c | T-260s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-560s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-860s | ACTIVE
[REALTIME] 1776334800 | UP: 62.0c | DOWN: 37.0c | T-260s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-560s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-860s | ACTIVE
[REALTIME] 1776334800 | UP: 62.0c | DOWN: 37.0c | T-259s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-559s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-859s | ACTIVE
[REALTIME] 1776334800 | UP: 62.0c | DOWN: 37.0c | T-259s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-559s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-859s | ACTIVE
[REALTIME] 1776334800 | UP: 63.0c | DOWN: 36.0c | T-258s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-558s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-858s | ACTIVE
[REALTIME] 1776334800 | UP: 63.0c | DOWN: 36.0c | T-258s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-558s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-858s | ACTIVE
[REALTIME] 1776334800 | UP: 63.0c | DOWN: 36.0c | T-257s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-557s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-857s | ACTIVE
[REALTIME] 1776334800 | UP: 63.0c | DOWN: 36.0c | T-257s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-557s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-857s | ACTIVE
[REALTIME] 1776334800 | UP: 63.0c | DOWN: 36.0c | T-256s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-556s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-856s | ACTIVE
[REALTIME] 1776334800 | UP: 63.0c | DOWN: 36.0c | T-256s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-556s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-856s | ACTIVE
[REALTIME] 1776334800 | UP: 62.0c | DOWN: 37.0c | T-255s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-555s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-855s | ACTIVE
[REALTIME] 1776334800 | UP: 62.0c | DOWN: 37.0c | T-255s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-555s | ACTIVE
